Parc,Sub-P,NumAr,x_rev,y,x,DAP,Prod.,Ambiente,copa,Observacao
1,8,385,360,290,-40,21,0,Terra Firme,intermediaria,
2,5,143,210,300,-40,15.8,0,Terra Firme,suprimida,
4,4,75,160,300,-40,26,1,Baixio,intermediaria,
4,4,69,160,305,-40,11,0,Terra Firme,suprimida,
1,1,46,10,305,-40,13.2,0,Baixio,intermediaria,
1,3,358,110,310,-40,12,0,Transição,suprimida,
1,1,49,10,310,-40,22,1,Terra Firme,co-dominante,
1,8,331,360,310,-40,39.5,1,Baixio,co-dominante,** cípo
1,1,48,10,315,-40,12,0,Baixio,suprimida,
2,6,158,260,320,-40,23.6,0,Terra Firme,co-dominante,
4,5,97,210,320,-40,47.8,1,Terra Firme,co-dominante,cípo
1,4,154,160,320,-40,48,1,Baixio,co-dominante,suprimida por cípo
3,4,205,160,325,-40,23.7,1,Baixio,intermediaria,
4,4,78,160,325,-40,36.5,1,Baixio,co-dominante,
1,6,239,260,338,-40,17.5,0,Baixio,suprimida,
1,6,240,260,338,-40,35.5,1,Baixio,intermediaria,
1,1,56,10,340,-40,13.7,0,Baixio,intermediaria,
4,7,138,310,340,-40,36,1,Baixio,intermediaria,
1,2,61,60,345,-40,34.5,1,Baixio,co-dominante,
2,8,239,360,350,-40,11.8,0,Terra Firme,intermediaria,
"4,4,85,160,350,-40,18.1,0,Transição,suprimida,""não tem copa, rebrotando, quebrada"""
2,5,148,210,350,-40,23.6,1,Terra Firme,intermediaria,
1,2,62,60,350,-40,29,1,Baixio,co-dominante,
3,4,213,160,355,-40,26.8,1,Baixio,intermediaria,
1,3,142,110,360,-40,11.1,0,Baixio,suprimida,
1,3,141,110,360,-40,15,0,Baixio,intermediaria,
4,5,89,210,360,-40,20.8,0,Baixio,intermediaria,suprimida por cípos
3,3,95,110,365,-40,17.6,0,Baixio,suprimida,
1,6,235,260,365,-40,46.7,1,Baixio,co-dominante,
4,6,122,260,370,-40,45,1,Baixio,dominante,
1,6,374,260,371,-40,17.3,0,Baixio,suprimida,
2,1,23,10,375,-40,26.5,0,Terra Firme,suprimida,
1,6,238,260,375,-40,29.3,1,Baixio,intermediaria,
1,5,221,210,380,-40,17.2,0,Baixio,intermediaria,
1,6,233,260,380,-40,33.8,1,Baixio,dominante,
4,2,48,60,390,-40,23.3,1,Terra Firme,intermediaria,
1,6,232,260,390,-40,44,1,Baixio,co-dominante,
4,1,17,10,395,-40,12.1,1,Terra Firme,intermediaria,
4,6,124,260,397,-40,51,1,Baixio,dominante,
4,5,87,210,398,-40,12.3,0,Transição,suprimida,cípo
2,3,72,111,290,-39,22.8,0,Terra Firme,intermediaria,cípo
2,3,78,111,397,-39,13.2,0,Terra Firme,intermediaria,
3,4,160,162,20,-38,23.7,1,Terra Firme,co-dominante,
2,8,257,362,50,-38,17.5,0,Terra Firme,suprimida,
1,2,397,62,95,-38,18.3,0,Terra Firme,co-dominante,
1,1,25,12,107,-38,10.8,0,Baixio,suprimida,
2,7,273,312,110,-38,19.7,0,Terra Firme,suprimida,
3,3,131,112,119,-38,30,1,Baixio,co-dominante,
3,5,261,212,121,-38,42.7,1,Baixio,co-dominante,
"3,8,555,362,182,-38,30.5,1,Baixio,co-dominante,""deve ser 355, suprimida por cípo"""
4,8,190,362,200,-38,12,0,Terra Firme,intermediaria,
3,7,331,312,200,-38,14,0,Baixio,suprimida,
3,7,327,312,230,-38,15,0,Baixio,intermediaria,cípo
3,3,101,112,278,-38,22.9,1,Baixio,intermediaria,
2,4,94,162,290,-38,32.2,1,Terra Firme,co-dominante,
3,7,313,312,296,-38,25.2,0,Terra Firme,intermediaria,
1,8,343,362,350,-38,22.3,0,Baixio,suprimida,**
2,8,233,362,360,-38,10.8,0,Terra Firme,intermediaria,
2,8,276,363,172,-37,20.7,1,Terra Firme,intermediaria,suprimida por cípos
2,6,161,263,269,-37,45.9,1,Terra Firme,dominante,
3,2,76,63,285,-37,23.5,1,Baixio,co-dominante,ilha
"2,1,22,14,375,-36,21.4,0,Terra Firme,suprimida,""rebrotando, quebrado"""
1,7,273,315,9,-35,28.8,1,Baixio,co-dominante,*
1,1,4,15,25,-35,11.5,0,Baixio,suprimida,
2,8,258,365,35,-35,16.4,0,Terra Firme,suprimida,
1,5,185,215,50,-35,25.3,1,Baixio,co-dominante,
3,6,280,265,50,-35,34.5,1,Terra Firme,co-dominante,medida em cima das sapopemas/suprimida por cípo
1,2,399,65,60,-35,11.4,0,Transição,intermediaria,suprimida por cípo
3,5,268,215,68,-35,44.1,1,Baixio,co-dominante,cípo
2,3,59,115,85,-35,18.7,0,Terra Firme,suprimida,medida em cima da parte enchada/cípo
3,4,173,165,94,-35,35.1,1,Baixio,co-dominante,medido em cima das sapopemas
3,8,347,365,107,-35,39.6,1,Terra Firme,dominante,
3,8,348,365,112,-35,14.9,0,Terra Firme,intermediaria,cípo
3,5,262,215,115,-35,19.3,0,Baixio,co-dominante,
1,1,22,15,115,-35,20.6,0,Terra Firme,suprimida,
2,3,67,115,125,-35,33.3,1,Terra Firme,co-dominante,
4,3,57,115,130,-35,15,0,Terra Firme,suprimida,
2,8,256,365,130,-35,21.7,1,Terra Firme,suprimida,
4,3,56,115,150,-35,34.7,1,Terra Firme,dominante,
3,5,254,215,165,-35,44.2,1,Baixio,co-dominante,suprimida por cípo
3,8,354,365,168,-35,30.3,1,Transição,co-dominante,suprimida por cípo
2,8,255,365,175,-35,16.4,0,Terra Firme,intermediaria,
2,6,175,265,180,-35,39.3,1,Terra Firme,dominante,intermediaria por cípos
3,7,337,315,183,-35,39.5,1,Baixio,co-dominante,
1,3,122,115,184,-35,34.2,1,Terra Firme,co-dominante,
3,5,243,215,189,-35,10.6,0,Baixio,suprimida,
1,2,75,65,195,-35,13.2,0,Terra Firme,intermediaria,luz direto mas baixinho
